Name,Team,Height,Weight,Jersey Number,Position Shorthand,Position Longhand,Country,Overall,Potential,Stats,Detailed link
H. Çalhanoğlu,Inter,"5'10""																",168lbs,#20 ,CM,Center Midfielder,Turkey,84,84,2172,https://www.fifaratings.com/hakan-calhanoglu
Stefan de Vrij,Inter,"6'2""																",172lbs,#6 ,CB,Centre Back,Netherlands,84,84,1873,https://www.fifaratings.com/stefan-de-vrij
Edin Džeko,Inter,"6'4""																",176lbs,#9 ,ST,Striker,Bosnia and Herzegovina,84,84,1954,https://www.fifaratings.com/edin-dzeko
S. Handanovič,Inter,"6'4""																",203lbs,#1 ,GK,Goalkeeper,Slovenia,83,83,1259,https://www.fifaratings.com/samir-handanovic
André Onana,Inter,"6'3""																",205lbs,#24 ,GK,Goalkeeper,Cameroon,82,85,1468,https://www.fifaratings.com/andre-onana
Denzel Dumfries,Inter,"6'2""																",176lbs,#2 ,RWB,Right WingBack,Netherlands,82,84,2061,https://www.fifaratings.com/denzel-dumfries
Robin Gosens,Inter,"6'0""																",168lbs,#8 ,LWB,Left WingBack,Germany,82,82,2193,https://www.fifaratings.com/robin-gosens
F. Acerbi,Inter,"6'4""																",194lbs,#15 ,CB,Centre Back,Italy,82,82,1840,https://www.fifaratings.com/francesco-acerbi
H. Mkhitaryan,Inter,"5'10""																",165lbs,#22 ,CAM,Center Attacking Midfielder,Armenia,81,81,2125,https://www.fifaratings.com/henrikh-mkhitaryan
Matteo Darmian,Inter,"6'0""																",154lbs,#36 ,RWB,Right WingBack,Italy,80,80,1997,https://www.fifaratings.com/matteo-darmian
Joaquín Correa,Inter,"6'2""																",165lbs,#11 ,RW,Right Winger,Argentina,80,80,1963,https://www.fifaratings.com/joaquin-correa
F. Dimarco,Inter,"5'9""																",165lbs,#32 ,LWB,Left WingBack,Italy,79,84,2107,https://www.fifaratings.com/federico-dimarco
D. D'Ambrosio,Inter,"5'11""																",165lbs,#33 ,CB,Centre Back,Italy,78,78,2007,https://www.fifaratings.com/danilo-dambrosio
R. Gagliardini,Inter,"6'2""																",170lbs,#5 ,CDM,Center Defensive Midfielder,Italy,76,76,1943,https://www.fifaratings.com/roberto-gagliardini
Raoul Bellanova,Inter,"6'2""																",172lbs,#12 ,RWB,Right WingBack,Italy,74,82,1703,https://www.fifaratings.com/raoul-bellanova
K. Asllani,Inter,"5'9""																",150lbs,#14 ,CM,Center Midfielder,Albania,73,85,1888,https://www.fifaratings.com/kristjan-asllani
Alex Cordaz,Inter,"6'2""																",183lbs,#21 ,GK,Goalkeeper,Italy,72,72,961,https://www.fifaratings.com/alex-cordaz
Dalbert,Inter,"5'11""																",154lbs,#29 ,LWB,Left WingBack,Brazil,71,71,1875,https://www.fifaratings.com/dalbert-chagas-estevao
A. Fontanarosa,Inter,"6'1""																",157lbs,#47 ,CB,Centre Back,Italy,67,84,1789,https://www.fifaratings.com/alessandro-fontanarosa
Mattia Zanotti,Inter,"5'10""																",154lbs,#46 ,RM,Right Midfielder,Italy,66,81,1856,https://www.fifaratings.com/mattia-zanotti
Jan Oblak,Atlético de Madrid,"6'2""																",192lbs,#13 ,GK,Goalkeeper,Slovenia,89,91,1405,https://www.fifaratings.com/jan-oblak
Y. Carrasco,Atlético de Madrid,"5'11""																",161lbs,#21 ,LM,Left Midfielder,Belgium,85,85,2153,https://www.fifaratings.com/yannick-carrasco
Marcos Llorente,Atlético de Madrid,"6'0""																",163lbs,#14 ,CAM,Center Attacking Midfielder,Spain,84,85,2242,https://www.fifaratings.com/marcos-llorente-moreno
Stefan Savić,Atlético de Madrid,"6'2""																",176lbs,#15 ,CB,Centre Back,Montenegro,84,84,1754,https://www.fifaratings.com/stefan-savic
R. De Paul,Atlético de Madrid,"5'11""																",154lbs,#5 ,CM,Center Midfielder,Argentina,84,84,2237,https://www.fifaratings.com/rodrigo-javier-de-paul
João Félix,Atlético de Madrid,"5'11""																",159lbs,#7 ,CAM,Center Attacking Midfielder,Portugal,83,89,2102,https://www.fifaratings.com/joao-felix-sequeira
J. Giménez,Atlético de Madrid,"6'1""																",174lbs,#2 ,CB,Centre Back,Uruguay,83,85,1826,https://www.fifaratings.com/jose-maria-gimenez
Thomas Lemar,Atlético de Madrid,"5'7""																",146lbs,#11 ,CAM,Center Attacking Midfielder,France,83,84,2214,https://www.fifaratings.com/thomas-lemar
Ángel Correa,Atlético de Madrid,"5'7""																",154lbs,#10 ,CF,Center Forward,Argentina,83,84,2145,https://www.fifaratings.com/angel-correa
A. Griezmann,Atlético de Madrid,"5'9""																",161lbs,#8 ,CAM,Center Attacking Midfielder,France,83,83,2243,https://www.fifaratings.com/antoine-griezmann
Koke,Atlético de Madrid,"5'9""																",165lbs,#6 ,CM,Center Midfielder,Spain,83,83,2191,https://www.fifaratings.com/jorge-resurreccion
G. Kondogbia,Atlético de Madrid,"6'2""																",168lbs,#4 ,CDM,Center Defensive Midfielder,Central African Republic,82,82,2182,https://www.fifaratings.com/geoffrey-kondogbia
Matheus Cunha,Atlético de Madrid,"6'0""																",165lbs,#9 ,CAM,Center Attacking Midfielder,Brazil,81,86,2019,https://www.fifaratings.com/matheus-santos-carneiro-da-cunha
Morata,Atlético de Madrid,"6'3""																",185lbs,#19 ,ST,Striker,Spain,81,81,1936,https://www.fifaratings.com/alvaro-borja-morata-martin
Felipe,Atlético de Madrid,"6'3""																",185lbs,#18 ,CB,Centre Back,Brazil,81,81,1770,https://www.fifaratings.com/felipe-augusto-de-almeida-monteiro
Reguilón,Atlético de Madrid,"5'10""																",150lbs,#3 ,LWB,Left WingBack,Spain,80,83,2020,https://www.fifaratings.com/sergio-reguilon-rodriguez
Mario Hermoso,Atlético de Madrid,"6'0""																",168lbs,#22 ,CB,Centre Back,Spain,80,82,1991,https://www.fifaratings.com/mario-hermoso-canseco
Saúl,Atlético de Madrid,"6'0""																",165lbs,#17 ,CM,Center Midfielder,Spain,80,80,2163,https://www.fifaratings.com/saul-niguez-esclapez
Reinildo,Atlético de Madrid,"5'11""																",161lbs,#23 ,LB,Left Back,Mozambique,80,80,1989,https://www.fifaratings.com/reinildo-isnard-mandava
Axel Witsel,Atlético de Madrid,"6'1""																",179lbs,#20 ,CDM,Center Defensive Midfielder,Belgium,79,79,2010,https://www.fifaratings.com/axel-witsel
Nahuel Molina,Atlético de Madrid,"5'9""																",154lbs,#16 ,RWB,Right WingBack,Argentina,78,84,2033,https://www.fifaratings.com/nahuel-molina
Ivo Grbić,Atlético de Madrid,"6'5""																",205lbs,#1 ,GK,Goalkeeper,Croatia,74,78,1070,https://www.fifaratings.com/ivo-grbic
Iturbe,Atlético de Madrid,"6'1""																",165lbs,#35 ,GK,Goalkeeper,Spain,65,80,1073,https://www.fifaratings.com/alejandro-iturbe-encabo
Alberto Moreno,Atlético de Madrid,"5'9""																",152lbs,#32 ,CAM,Center Attacking Midfielder,Spain,64,80,1717,https://www.fifaratings.com/alberto-moreno-rebanal
Ethyan,Atlético de Madrid,"6'1""																",165lbs,#27 ,ST,Striker,Spain,64,77,1590,https://www.fifaratings.com/ethyan-jesus-gonzalez-morales
Javi Cueto,Atlético de Madrid,"5'11""																",165lbs,#28 ,ST,Striker,Spain,64,76,1599,https://www.fifaratings.com/javier-cueto-suarez
Fran González,Atlético de Madrid,"6'2""																",179lbs,#38 ,CB,Centre Back,Spain,64,72,1392,https://www.fifaratings.com/francisco-gonzalez-verjara
Carlos Martín,Atlético de Madrid,"5'11""																",163lbs,#29 ,ST,Striker,Spain,63,80,1634,https://www.fifaratings.com/carlos-martin-dominguez
Antonio Gomis,Atlético de Madrid,"6'2""																",176lbs,#31 ,GK,Goalkeeper,Spain,63,78,1031,https://www.fifaratings.com/antonio-gomis-aleman
Mini,Atlético de Madrid,"5'9""																",157lbs,#33 ,CDM,Center Defensive Midfielder,Spain,63,72,1715,https://www.fifaratings.com/sergio-guerrero-romero
Marco Moreno,Atlético de Madrid,"6'3""																",172lbs,#36 ,CB,Centre Back,Spain,62,77,1393,https://www.fifaratings.com/marco-moreno-ojeda
Manu Lama,Atlético de Madrid,"6'1""																",181lbs,#42 ,CB,Centre Back,Spain,61,73,1526,https://www.fifaratings.com/manuel-lama-maroto
Diego Bri,Atlético de Madrid,"5'8""																",143lbs,#34 ,CAM,Center Attacking Midfielder,Spain,60,76,1382,https://www.fifaratings.com/diego-vicente-bri-carrazoni
N. Kanté,Chelsea,"5'6""																",154lbs,#7 ,CDM,Center Defensive Midfielder,France,88,88,2144,https://www.fifaratings.com/ngolo-kante
Édouard Mendy,Chelsea,"6'6""																",190lbs,#16 ,GK,Goalkeeper,Senegal,86,87,1234,https://www.fifaratings.com/edouard-mendy
Thiago Silva,Chelsea,"6'0""																",174lbs,#6 ,CB,Centre Back,Brazil,86,86,2012,https://www.fifaratings.com/thiago-emiliano-da-silva
K. Koulibaly,Chelsea,"6'2""																",196lbs,#26 ,CB,Centre Back,Senegal,86,86,1908,https://www.fifaratings.com/kalidou-koulibaly
Raheem Sterling,Chelsea,"5'7""																",152lbs,#17 ,LW,Left Winger,England,85,85,2091,https://www.fifaratings.com/raheem-sterling
Kai Havertz,Chelsea,"6'2""																",181lbs,#29 ,CAM,Center Attacking Midfielder,Germany,84,91,2053,https://www.fifaratings.com/kai-havertz
Reece James,Chelsea,"5'10""																",192lbs,#24 ,RWB,Right WingBack,England,84,88,2261,https://www.fifaratings.com/reece-james
P. Aubameyang,Chelsea,"6'2""																",176lbs,#9 ,ST,Striker,Gabon,84,84,2022,https://www.fifaratings.com/pierre-emerick-aubameyang
Mateo Kovačić,Chelsea,"5'9""																",176lbs,#8 ,CM,Center Midfielder,Croatia,84,84,2142,https://www.fifaratings.com/mateo-kovacic
Jorginho,Chelsea,"5'11""																",150lbs,#5 ,CM,Center Midfielder,Italy,84,84,2121,https://www.fifaratings.com/luiz-frello-filho-jorge
Mason Mount,Chelsea,"5'11""																",163lbs,#19 ,CAM,Center Attacking Midfielder,England,83,86,2116,https://www.fifaratings.com/mason-mount
Hakim Ziyech,Chelsea,"5'11""																",143lbs,#22 ,RW,Right Winger,Morocco,83,83,2073,https://www.fifaratings.com/hakim-ziyech
C. Pulisic,Chelsea,"5'10""																",152lbs,#10 ,RM,Right Midfielder,United States,82,88,1950,https://www.fifaratings.com/christian-pulisic
Ben Chilwell,Chelsea,"5'11""																",170lbs,#21 ,LWB,Left WingBack,England,82,85,2106,https://www.fifaratings.com/ben-chilwell
Azpilicueta,Chelsea,"5'10""																",170lbs,#28 ,CB,Centre Back,Spain,82,82,2062,https://www.fifaratings.com/cesar-azpilicueta-tanco
Denis Zakaria,Chelsea,"6'3""																",179lbs,#20 ,CDM,Center Defensive Midfielder,Switzerland,81,86,2052,https://www.fifaratings.com/denis-zakaria
Cucurella,Chelsea,"5'8""																",146lbs,#32 ,LWB,Left WingBack,Spain,81,85,2132,https://www.fifaratings.com/marc-cucurella-saseta
Kepa,Chelsea,"6'1""																",194lbs,#1 ,GK,Goalkeeper,Spain,81,84,1337,https://www.fifaratings.com/kepa-arrizabalaga
Wesley Fofana,Chelsea,"6'3""																",168lbs,#33 ,CB,Centre Back,France,79,86,1773,https://www.fifaratings.com/wesley-fofana
Conor Gallagher,Chelsea,"6'0""																",170lbs,#23 ,CM,Center Midfielder,England,78,85,2047,https://www.fifaratings.com/conor-gallagher
R. Loftus-Cheek,Chelsea,"6'3""																",194lbs,#12 ,CAM,Center Attacking Midfielder,England,77,79,1989,https://www.fifaratings.com/ruben-loftus-cheek
Trevoh Chalobah,Chelsea,"6'3""																",185lbs,#14 ,CB,Centre Back,England,76,81,1782,https://www.fifaratings.com/trevoh-chalobah
Armando Broja,Chelsea,"6'3""																",165lbs,#18 ,ST,Striker,Albania,75,83,1739,https://www.fifaratings.com/armando-broja
M. Bettinelli,Chelsea,"6'4""																",181lbs,#13 ,GK,Goalkeeper,England,70,71,1115,https://www.fifaratings.com/marcus-bettinelli
C. Chukwuemeka,Chelsea,"6'1""																",154lbs,#30 ,CAM,Center Attacking Midfielder,England,64,84,1685,https://www.fifaratings.com/carney-chukwuemeka
O. Hutchinson,Chelsea,"5'9""																",143lbs,#56 ,CAM,Center Attacking Midfielder,Jamaica,64,81,1625,https://www.fifaratings.com/omari-hutchinson
Juan Castillo,Chelsea,"5'9""																",170lbs,#47 ,LM,Left Midfielder,Netherlands,62,69,1704,https://www.fifaratings.com/juan-castillo
Dylan Williams,Chelsea,"5'7""																",141lbs,#55 ,LWB,Left WingBack,England,61,76,1528,https://www.fifaratings.com/dylan-williams
Lewis Hall,Chelsea,"5'11""																",159lbs,#67 ,CAM,Center Attacking Midfielder,England,60,80,1681,https://www.fifaratings.com/lewis-hall
Josh Brooking,Chelsea,"6'1""																",170lbs,#43 ,CB,Centre Back,England,60,77,1379,https://www.fifaratings.com/josh-brooking
Charlie Webster,Chelsea,"5'10""																",161lbs,#41 ,CAM,Center Attacking Midfielder,England,58,80,1586,https://www.fifaratings.com/charlie-webster
Casemiro,Manchester United,"6'1""																",185lbs,#18 ,CDM,Center Defensive Midfielder,Brazil,89,89,2232,https://www.fifaratings.com/carlos-henrique-venancio-casimiro
De Gea,Manchester United,"6'4""																",168lbs,#1 ,GK,Goalkeeper,Spain,87,87,1416,https://www.fifaratings.com/david-de-gea-quintana
Bruno Fernandes,Manchester United,"5'10""																",152lbs,#8 ,CAM,Center Attacking Midfielder,Portugal,86,86,2302,https://www.fifaratings.com/bruno-miguel-borges-fernandes
Raphaël Varane,Manchester United,"6'3""																",179lbs,#19 ,CB,Centre Back,France,85,85,1911,https://www.fifaratings.com/raphael-varane
Jadon Sancho,Manchester United,"5'11""																",168lbs,#25 ,CAM,Center Attacking Midfielder,England,83,87,1898,https://www.fifaratings.com/jadon-sancho
C. Eriksen,Manchester United,"5'11""																",168lbs,#14 ,CM,Center Midfielder,Denmark,83,83,2024,https://www.fifaratings.com/christian-eriksen
Antony,Manchester United,"5'9""																",139lbs,#21 ,LM,Left Midfielder,Brazil,82,88,2055,https://www.fifaratings.com/antony-matheus-dos-santos
L. Martínez,Manchester United,"5'10""																",170lbs,#6 ,CDM,Center Defensive Midfielder,Argentina,82,87,2145,https://www.fifaratings.com/lisandro-martinez
Marcus Rashford,Manchester United,"6'1""																",154lbs,#10 ,ST,Striker,England,81,85,2078,https://www.fifaratings.com/marcus-rashford
Diogo Dalot,Manchester United,"6'0""																",168lbs,#20 ,RB,Right Back,Portugal,80,86,2089,https://www.fifaratings.com/jose-diogo-dalot-teixeira
Scott McTominay,Manchester United,"6'4""																",194lbs,#39 ,CDM,Center Defensive Midfielder,Scotland,80,83,2093,https://www.fifaratings.com/scott-mctominay
Anthony Martial,Manchester United,"6'0""																",168lbs,#9 ,ST,Striker,France,80,81,1974,https://www.fifaratings.com/anthony-martial
Luke Shaw,Manchester United,"5'11""																",165lbs,#23 ,LB,Left Back,England,80,81,2107,https://www.fifaratings.com/luke-shaw
V. Lindelöf,Manchester United,"6'2""																",176lbs,#2 ,CDM,Center Defensive Midfielder,Sweden,80,81,1938,https://www.fifaratings.com/victor-lindelof
Harry Maguire,Manchester United,"6'4""																",221lbs,#5 ,CB,Centre Back,England,80,80,1914,https://www.fifaratings.com/harry-maguire
Fred,Manchester United,"5'7""																",137lbs,#17 ,CM,Center Midfielder,Brazil,80,80,2185,https://www.fifaratings.com/frederico-de-paula-santos
Tyrell Malacia,Manchester United,"5'7""																",148lbs,#12 ,LWB,Left WingBack,Netherlands,79,84,2005,https://www.fifaratings.com/tyrell-malacia
A. Wan-Bissaka,Manchester United,"6'0""																",159lbs,#29 ,RB,Right Back,England,79,82,1906,https://www.fifaratings.com/aaron-wan-bissaka
M. Dúbravka,Manchester United,"6'3""																",176lbs,#31 ,GK,Goalkeeper,Slovakia,79,79,1331,https://www.fifaratings.com/martin-dubravka
D. van de Beek,Manchester United,"6'0""																",163lbs,#34 ,CAM,Center Attacking Midfielder,Netherlands,78,83,2086,https://www.fifaratings.com/donny-van-de-beek
Anthony Elanga,Manchester United,"5'10""																",165lbs,#36 ,RW,Right Winger,Sweden,74,83,1827,https://www.fifaratings.com/anthony-elanga
B. Williams,Manchester United,"6'0""																",139lbs,#33 ,RWB,Right WingBack,England,73,78,1882,https://www.fifaratings.com/brandon-williams
Axel Tuanzebe,Manchester United,"6'1""																",165lbs,#38 ,CB,Centre Back,England,73,77,1785,https://www.fifaratings.com/axel-tuanzebe
Phil Jones,Manchester United,"6'1""																",157lbs,#4 ,CB,Centre Back,England,72,72,1628,https://www.fifaratings.com/phil-jones
Tom Heaton,Manchester United,"6'2""																",187lbs,#22 ,GK,Goalkeeper,England,72,72,1238,https://www.fifaratings.com/tom-heaton
F. Pellistri,Manchester United,"5'9""																",143lbs,#28 ,RM,Right Midfielder,Uruguay,70,81,1749,https://www.fifaratings.com/facundo-pellistri
D. Bernard,Manchester United,"6'2""																",179lbs,#58 ,CB,Centre Back,England,69,77,1632,https://www.fifaratings.com/dishon-bernard
Teden Mengi,Manchester United,"6'0""																",172lbs,#43 ,CB,Centre Back,England,67,77,1636,https://www.fifaratings.com/teden-mengi
Alejandro Garnacho,Manchester United,"5'11""																",154lbs,#49 ,LW,Left Winger,Argentina,65,85,1600,https://www.fifaratings.com/alejandro-garnacho-ferreyra
Shola Shoretire,Manchester United,"5'9""																",154lbs,#47 ,CAM,Center Attacking Midfielder,England,64,83,1637,https://www.fifaratings.com/shola-shoretire
Zidane Iqbal,Manchester United,"5'11""																",143lbs,#55 ,CAM,Center Attacking Midfielder,Iraq,62,80,1653,https://www.fifaratings.com/zidane-iqbal
Charlie Savage,Manchester United,"6'0""																",139lbs,#51 ,CM,Center Midfielder,Wales,61,79,1607,https://www.fifaratings.com/charlie-savage
Harry Kane,Tottenham Hotspur,"6'2""																",196lbs,#10 ,ST,Striker,England,89,89,2197,https://www.fifaratings.com/harry-kane
Heung Min Son,Tottenham Hotspur,"6'0""																",172lbs,#7 ,LW,Left Winger,South Korea,89,89,2139,https://www.fifaratings.com/heung-min-son
Hugo Lloris,Tottenham Hotspur,"6'2""																",181lbs,#1 ,GK,Goalkeeper,France,86,86,1387,https://www.fifaratings.com/hugo-lloris
P. Højbjerg,Tottenham Hotspur,"6'2""																",185lbs,#5 ,CDM,Center Defensive Midfielder,Denmark,84,86,2123,https://www.fifaratings.com/pierre-emile-hojbjerg
Cristian Romero,Tottenham Hotspur,"6'1""																",174lbs,#17 ,CB,Centre Back,Argentina,83,88,1872,https://www.fifaratings.com/cristian-romero
Ivan Perišić,Tottenham Hotspur,"6'1""																",176lbs,#14 ,LM,Left Midfielder,Croatia,83,83,2236,https://www.fifaratings.com/ivan-perisic
D. Kulusevski,Tottenham Hotspur,"6'1""																",165lbs,#21 ,CAM,Center Attacking Midfielder,Sweden,81,86,2086,https://www.fifaratings.com/dejan-kulusevski
R. Bentancur,Tottenham Hotspur,"6'2""																",161lbs,#30 ,CDM,Center Defensive Midfielder,Uruguay,81,85,2145,https://www.fifaratings.com/rodrigo-bentancur
